Аnthroponym in English,Original + transcription,Source ,Century,Historical source,Hagiographical source,Literature,Commentaries
Nebuchadnezzar II,Նաբուգոդոնոսոր [nabugodonosor],Mart_Grig.Hrips.Gayane,4th,,V,,"King of the Neo-Babylonian Empire, that lost his mind once and started grazing with beasts in the desert. The same happened with Armenian King Trdat that turned into a wild boar"
Xosroviduχt/Kusarodukta,Խոսրովիդուխտ [χosroviduχt],Mart_Grig.Hrips.Gayane,4th,,V,,"Trdat's sister that saw a dream for several times, that Gregory the Illuminator is alive in the dungeon and he is only able to cure ill Trdat. Together with Tdrat's wife Ashkhen, she helped Trdat to make the burials of Hripsime and martyred nuns (carrying the soil in their dresses instead of baskets) and followed the king at the meeting with Petros the bishop and Gregory the Illuminator in Caesaria"
Ashkhen/Asikhena,Աշխեն [ašχen],Mart_Grig.Hrips.Gayane,4th,,V,,"Trdat's wife, that together with Xosrovidut helped Trdat to make the burials of Hripsime and martyred nuns (carrying the soil in their dresses instead of baskets) and followed the king at the meeting with Petros the bishop and Gregory the Illuminator in Caesaria"
Leontius,Ղևոնդիոս [łewondios] / Ղևոնդէս [łewondēs],Mart_Grig.Hrips.Gayane,4th,,V,,"Saint patriarch and archbishop of Caesaria that consecrated Gregory the Illuminator as the patriarch of Armenia, gave him part of the relics of John the Baptist and asked Petros (in a letter) to accompany Gregory at his enthroning"
Petros,Պետրոս [petros],Mart_Grig.Hrips.Gayane,4th,,V,,"Saint bishop of Sebastia that accompanied Gregory the Illuminator at his enthroning, sanctified the altars in new Armenian churches"
Licinius,Լիկիանէս [likianēs] / Լիկիանոս [likianos],Mart_Grig.Hrips.Gayane,4th,,V,,"Roman patrician, Trdat's tutor"
Ibir-b-z-khua,,Mart_Grig.Hrips.Gayane,4th,,V,,An Iverian (Georgian) from Sebastia (Sivas) that was ordained metropolitan in order to consecrate the bishops in Iveria (Georgia)
Sophronius,Սոփրոն [sopʿron],Mart_Grig.Hrips.Gayane,4th,,V,,A priest from Cappadokia that was sent by Gregory the Illuminator to Abkazians as a bishop
Thomas,Թովմաս [tʿovmas],Mart_Grig.Hrips.Gayane,4th,,V,,Native of Satał that was sent by Gregory the Illuminator to Alans as a bishop
Eutalius/Euphalius,Եւտաղիոս [ewtałios],Mart_Grig.Hrips.Gayane,4th,,V,,One of the disciples of Gregory the Illuminator that was sent to Basean as a bishop
Bas/Basos ,Բասոս [basos],Mart_Grig.Hrips.Gayane,4th,,V,,One of the disciples of Gregory the Illuminator that was sent to the land of Bikugs as a bishop
Movses,Մովսէս [movsēs],Mart_Grig.Hrips.Gayane,4th,,V,,One of the disciples of Gregory the Illuminator that was sent to Ibakliret and Derzdan as a bishop
Eusebius,Եւսեբիոս [ewsebios],Mart_Grig.Hrips.Gayane,4th,,V,,One of the disciples of Gregory the Illuminator that was sent to Daranałikʿ as a bishop
Hovhannes,Յովհաննէս [yovhannēs],Mart_Grig.Hrips.Gayane,4th,,V,,One of the disciples of Gregory the Illuminator that was sent to the land of Kuhanits as a bishop
Agapius/Khabib,Ագապես [agapēs],Mart_Grig.Hrips.Gayane,4th,,V,,One of the disciples of Gregory the Illuminator that was sent to as a bishop. In arabic verion of the martyrdom he is named as Khabib
Albianus/Alvius,Աղբիանոս [ałbianos],Mart_Grig.Hrips.Gayane,4th,,V,,"One of the disciples of Gregory the Illuminator that was sent to the land, that belonged to the Mamikonean house, as a bishop"
"Artitʿ, Artitʿēs",Արտիթ [artitʿ] / Արտիթէս [artitʿēs],Mart_Grig.Hrips.Gayane,4th,,V,,One of the disciples of Gegory the Illuminator that was sent to the land of Małχazkʿ as a bishop
Genaaretiy,,Mart_Grig.Hrips.Gayane,4th,,V,,The ruler of the land of Małχazkʿ
Arsukes/Arsuk,Արսուկէս [arsukēs],Mart_Grig.Hrips.Gayane,4th,,V,,One of the disciples of Gregory the Illuminator that was sent to Sirag (Syria?) as a bishop
Antiochus,Անտիոքէս [antiokʿēs],Mart_Grig.Hrips.Gayane,4th,,V,,One of the disciples of Gregory the Illuminator that was sent to Kardalet as a bishop
Tirikēs,Տիրիկէս [tirikēs],Mart_Grig.Hrips.Gayane,4th,,V,,One of the disciples of Gregory the Illuminator that was sent to Atrpatakan as a bishop
Kirakos/Kirikia,Կիւրակոս [kiwrakos],Mart_Grig.Hrips.Gayane,4th,,V,,One of the disciples of Gregory the Illuminator that was sent to Aršamunikʿ as a bishop
Vrtʿanēs,Վրթանէս [vrtʿanēs],Mart_Grig.Hrips.Gayane,4th,,V,,"Elder son of Gregory the Illuminatior, who is married and lived in Caesaria"
Aristakēs,Արիստակէս [aristakēs],Mart_Grig.Hrips.Gayane,4th,,V,,"Younger son of Gregory the Illuminator, a monk (lived far in the mountains) that represented Armenia at the Council of Nicaea and brought the new canons from the Council to Armenia"
Artawazd Mamikonean,Արտաւազդ [artawazd],Mart_Grig.Hrips.Gayane,4th,,V,,"The ruler of the lands belonging to the Mamikonean house, whom (together with Tačat and Dat) Trdat asked to bring to him the sons of Gregory the Illuminator"
Tačat,Տաճատ [tačat],Mart_Grig.Hrips.Gayane,4th,,V,,"The ruler of Ason (Ašocʿkʿ = Abotsi), whom (together with Tacates and Dat) Trdat asked to bring to him the sons of Gregory the Illuminator"
Dat/Datias ,Դատ [dat],Mart_Grig.Hrips.Gayane,4th,,V,,"Trdat's advisor (in arab version of the martyrdom - vizier), whom (together with Tacates and Dat) Trdat asked to bring to him the sons of Gregory the Illuminator"
Constantine the Great,Կոստանդինոս [kostandianos],Mart_Grig.Hrips.Gayane,4th,,V,,"Roman emperor, who asked Trdat to tell him everything about the miracles of Gregory the Illuminator and king's miraculous healing in particular, and then told Trdat about his vision (probably of a cross) and him winning the battle (obviously the Battle of the Mulvian Bridge) after the vision. Afterwards he precided over the council in Nicaea"
Silvester,Սեղբեստրոս [sełbestros],Mart_Grig.Hrips.Gayane,4th,,V,,"Roman bishop that converted Constantine the Great into Christianity. Movses Khorenatsi in his ""History of Armenia"" adds to this episode: ""as it was said by Agathangelos"". In the Armenian version of Agathangelos nothing is mentioned about this legend, whereas in the martyrdom of Gregory, Hripsime and Gayane (in Arabic) Constantine the Great tells Trdat in his letter about his consecration by Silvester"
Eusebius,Եւսեբիոս [ewsebios],Mart_Grig.Hrips.Gayane,4th,,V,,Patriarch of Rome at the time Trdat and Gregory the Illuminator visited Constantine the Great in the Roman empire
Helena,Հեղինե [hełinē],Mart_Grig.Hrips.Gayane,4th,,V,,"Roman empress, mother of Constantine the Great"
Agathangelos,Ագաթանգեղոս [Agatʿangełos],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 25, 29.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 6, 7, 16, 17, 24, 25. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Agatangelos — Armenian historian of the 5th century, author of ""History of Armenia""."
Agapius,Ագապէս [Agapēs],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 245.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 470, 471. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Agapius (Agapes) — one of the students of Gregory the Illuminator from the children of pagan priest, ordained in bishops in one of the edges of Armenia."
Athenogenes of Pedachthoe,Աթանագինէ [Atʿanaginē],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 237, 243.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 254, 255, 266, 267. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Athenogenes of Pedachthoe (of Sebasteia) — a general Christian saint (III century), a contemporary of Diocletian. A native of the city of Sebasteia, was born in a Christian family. At first he was a priest, then a chorespe of the Sebasteia. He distinguished himself with his miracles. Metropolitan of Sebasteia consecrated to the rank of bishop of  Pedachthoe. For the refusal to make a sacrifice to idols, the judge of the city sentenced his and his ten students to death and they were beheaded. Athenogenes' sister Maria (Mariam) was the wife of Gregory the Illuminator.

Armenians twice celebrate his memory day: once with the memory of St. John the Baptist, in honor of the transfer of their relics to Armenia - on Thursday, following the first week of the holiday of the Resurrection, on the second - on Tuesday of the second week after Vardavar (Epiphany)."
Albianus,Աղբիանոս [Ałbianos] ,Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 245, 252.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 470, 471, 484, 485. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Albianos (Alvianos) — the son of a pagan priest, whom Gregory the Illuminator ordained the bishops and made the bishop of the royal court. According to Faustus of Byzantium (book 3, chap. 4), after the extermination of the Manavazyan clan, the Armenian king Khosrov gave him Manavazakert (Manazkert) “with all the borders and adjacent regions that are in the Euphrates River basin, in hereditary possession. The house of Albianos, before receiving Manazkert, had certain possessions in the edges of Taron”."
Anak the Parthian,Անակ Պարթև [Anak Partʿew],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 31, 56.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 28, 29, 76, 77. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)",Anak — the father of Gregory the Illuminator from the Parthian family. He killed the Armenian king Khosrov Arshakuni.
Antiochus,Անտիոքէս [Antiokʿēs],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 245.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 470, 471. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Antiochus — one of the students of Gregory the Illuminator from the children of pagan priest, ordained in bishops in one of the edges of Armenia."
Ashkhen,Աշխէն [Ašxēn],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 225-226, 232, 234, 238, 239, 242.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 430, 431, 444, 445, 448, 449, 456—459, 464, 465. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)",Ashhen — the wife of the Armenian king Tiridates III.
"St. Aristaces I",Արիստակէս [Aristakēs],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 248-250, 252, 254.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 478-485, 490, 491. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","St. Aristaces I — the youngest son of Gregory the Illuminator, the Armenian Catholicos (325-333)."
Arsukes,Արսուկէս [Arsukēs],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 245.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 470, 471. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Arsukes — one of the students of Gregory the Illuminator from the children of pagan priests, ordained in bishops in one of the edges of Armenia."
Ardashir I,Արտաշիր [Artašir],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 29-30.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 24-27. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)",Artashir I (180-239) — King of Persia since 226. The founder of the Sassanid dynasty.
Artawazd Mandakuni,Արտաւազդ [Artawazd],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 248.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 478-479. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Artawazd Mandakuni — sparapet of Greater Armenia (IV century); According to Movses Khorenatsi, he was belonged to the nakhararian family of Mandakuni .
Artawazd saved the young Tiridates (the son of the murdered Armenian king Khosrov I), taking him to the Roman Empire. As a result, the Persian king Artashir ordered to exterminate all representatives of the Mandakuni clan.
Upon the reign of Tiridates III,  Artawazd was given the post of commander of the Armenian troops ."
Artabanus IV(V) of Parthia,Արտաւան [Artawan] (1),Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 29, 30.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 24-27. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)",Artabanus IV(V) — the last Parthian king (213-224) from the Arsacid dynasty.
